  97     97         0.32907E+12             0.51878E-04             0.15563E-06
  98     98         0.20613E+12             0.32497E-04             0.97490E-07
  99     99         0.13062E+12             0.20592E-04             0.61777E-07
 100    100         0.95679E+11             0.15084E-04             0.45251E-07
 101    101         0.17970E+12             0.31135E-04             0.93405E-07
 102    102         0.25494E+12             0.44172E-04             0.13252E-06
 103    103         0.42872E+12             0.74281E-04             0.22284E-06
 104    104         0.72957E+12             0.12641E-03             0.37922E-06
 105    105         0.11890E+13             0.20601E-03             0.61802E-06
 106    106         0.18183E+13             0.31505E-03             0.94515E-06
 107    107         0.25825E+13             0.44745E-03             0.13424E-05
 108    108         0.33812E+13             0.58583E-03             0.17575E-05
 109    109         0.40570E+13             0.70293E-03             0.21088E-05
 110    110         0.44424E+13             0.76970E-03             0.23091E-05
 111    111         0.44312E+13             0.76777E-03             0.23033E-05
 112    112         0.40315E+13             0.69851E-03             0.20955E-05
 113    113         0.33573E+13             0.58170E-03             0.17451E-05
 114    114         0.25717E+13             0.44558E-03             0.13367E-05
 115    115         0.18221E+13             0.31570E-03             0.94710E-06
 116    116         0.12018E+13             0.20824E-03             0.62471E-06
 117    117         0.74463E+12             0.12902E-03             0.38705E-06
 118    118         0.44117E+12             0.76439E-04             0.22932E-06
 119    119         0.26267E+12             0.45511E-04             0.13653E-06
 120    120         0.18182E+12             0.31503E-04             0.94508E-07
 121    121         0.34399E+12             0.64251E-04             0.19275E-06
 122    122         0.51799E+12             0.96752E-04             0.29025E-06
 123    123         0.93303E+12             0.17427E-03             0.52282E-06
 124    124         0.16914E+13             0.31592E-03             0.94776E-06
 125    125         0.29193E+13             0.54528E-03             0.16358E-05
 126    126         0.47007E+13             0.87801E-03             0.26340E-05
 127    127         0.69796E+13             0.13037E-02             0.39110E-05
 128    128         0.94688E+13             0.17686E-02             0.53058E-05
 129    129         0.11646E+14             0.21754E-02             0.65261E-05
 130    130         0.12911E+14             0.24116E-02             0.72349E-05
 131    131         0.12868E+14             0.24035E-02             0.72106E-05
 132    132         0.11550E+14             0.21573E-02             0.64720E-05
 133    133         0.93845E+13             0.17529E-02             0.52586E-05
 134    134         0.69471E+13             0.12976E-02             0.38928E-05
 135    135         0.47186E+13             0.88136E-03             0.26441E-05
 136    136         0.29634E+13             0.55351E-03             0.16605E-05
 137    137         0.17375E+13             0.32454E-03             0.97361E-06
 138    138         0.96796E+12             0.18080E-03             0.54239E-06
 139    139         0.53823E+12             0.10053E-03             0.30160E-06
